PaperlessBilling,StreamingTV,PaymentMethod,gender,OnlineBackup,TotalCharges,SeniorCitizen,PhoneService,Contract,Dependents,tenure,InternetService,ChargeRatio,OnlineSecurity,TechSupport,StreamingMovies,Partner,DeviceProtection,MultipleLines,MonthlyCharges,customerID,InternetSeniorContract,Churn,Pred_Churn,Pred_Churn_Prod
True,False,Mailed check,Female,False,74.45,1,Yes,Month-to-month,False,1,Fiber optic,74.45,False,False,False,False,False,Yes,74.45,2982-IHMFT,Fiber optic1Month-to-month,Yes,Yes,0.9237313139867973
False,False,Electronic check,Male,False,720.45,1,Yes,Month-to-month,False,10,Fiber optic,72.045,True,False,False,True,False,No,75.3,9518-XXBXE,Fiber optic1Month-to-month,No,Yes,0.6657830104022215
False,False,Credit card (automatic),Male,False,49.0,0,Yes,Month-to-month,False,1,DSL,49.0,False,True,False,False,False,No,49.0,2607-FBDFF,DSL0Month-to-month,No,Yes,0.6604019704480896
True,False,Credit card (automatic),Female,False,765.15,0,Yes,Month-to-month,False,10,Fiber optic,76.515,True,False,False,True,False,Yes,78.15,5606-AMZBO,Fiber optic0Month-to-month,No,Yes,0.6538083141056521
False,False,Credit card (automatic),Female,True,307.6,0,No,Month-to-month,False,6,DSL,51.26666666666667,True,True,True,False,False,No phone service,50.95,7351-MHQVU,DSL0Month-to-month,No,Yes,0.5515170024240204
False,False,Mailed check,Female,False,30.55,0,No,Month-to-month,False,1,DSL,30.55,False,True,False,False,False,No phone service,30.55,6656-JWRQX,DSL0Month-to-month,No,Yes,0.7279199570490386
True,False,Electronic check,Female,False,1095.65,0,Yes,Month-to-month,False,12,Fiber optic,91.30416666666667,False,True,True,False,True,No,89.4,1513-XNPPH,Fiber optic0Month-to-month,Yes,Yes,0.6513449721113026
True,True,Electronic check,Male,True,5278.15,0,Yes,Month-to-month,False,54,Fiber optic,97.74351851851851,False,False,True,True,True,Yes,104.3,0895-DQHEW,Fiber optic0Month-to-month,Yes,Yes,0.7543795145698641
True,False,Bank transfer (automatic),Female,False,1929.35,1,Yes,Month-to-month,False,27,Fiber optic,71.4574074074074,True,False,False,True,False,No,75.2,0257-ZESQC,Fiber optic1Month-to-month,Yes,Yes,0.6280923412812233
True,False,Electronic check,Female,False,59.05,0,No,Month-to-month,False,2,DSL,29.525,False,True,False,False,False,No phone service,30.9,4030-VPZBD,DSL0Month-to-month,Yes,Yes,0.85655838690828
True,True,Bank transfer (automatic),Male,True,605.75,0,No,Month-to-month,False,12,DSL,50.479166666666664,True,True,False,False,False,No phone service,50.95,5311-IHLEI,DSL0Month-to-month,No,Yes,0.5503059730365707
True,False,Mailed check,Female,False,20.85,1,Yes,Month-to-month,False,1,No,20.85,False,False,False,True,False,No,20.85,6982-UQZLY,No1Month-to-month,Yes,Yes,0.7913872320739318
False,False,Mailed check,Male,False,107.1,1,Yes,Month-to-month,False,2,DSL,53.55,False,False,False,False,True,No,49.95,4223-WOZCM,DSL1Month-to-month,No,Yes,0.8619260986017585
False,True,Bank transfer (automatic),Female,False,1961.6,1,Yes,Month-to-month,True,22,Fiber optic,89.16363636363636,False,False,False,True,False,Yes,85.35,1845-CSBRZ,Fiber optic1Month-to-month,No,Yes,0.7084872459831028
False,False,Bank transfer (automatic),Female,True,165.0,0,Yes,Month-to-month,False,2,Fiber optic,82.5,False,False,False,True,True,No,79.7,8642-GVWRF,Fiber optic0Month-to-month,Yes,Yes,0.8716102578532392
True,False,Mailed check,Male,False,1793.25,0,Yes,Month-to-month,False,27,Fiber optic,66.41666666666667,False,False,False,False,False,No,69.05,8725-JEDFD,Fiber optic0Month-to-month,No,Yes,0.5092868681956652
True,True,Electronic check,Male,False,329.95,0,Yes,Month-to-month,False,3,Fiber optic,109.98333333333333,False,False,True,False,True,Yes,100.95,6023-YEBUP,Fiber optic0Month-to-month,Yes,Yes,0.9553821263582603
False,False,Mailed check,Male,False,1570.7,0,Yes,Month-to-month,False,21,Fiber optic,74.79523809523809,False,False,False,False,False,Yes,75.3,1228-ZLNBX,Fiber optic0Month-to-month,No,Yes,0.5864896441624158
True,True,Electronic check,Male,False,1842.8,1,Yes,Month-to-month,False,20,Fiber optic,92.14,False,False,True,False,True,Yes,98.55,6683-VLCTZ,Fiber optic1Month-to-month,Yes,Yes,0.8019972883348614
False,False,Bank transfer (automatic),Male,False,80.35,0,Yes,Month-to-month,False,2,DSL,40.175,False,False,False,False,False,No,46.05,2842-JTCCU,DSL0Month-to-month,Yes,Yes,0.7327043251219437
True,True,Bank transfer (automatic),Male,False,713.0,0,Yes,Month-to-month,False,7,Fiber optic,101.85714285714286,False,False,True,False,True,Yes,98.05,0655-RBDUG,Fiber optic0Month-to-month,Yes,Yes,0.9195335222510511
True,True,Electronic check,Female,True,1637.4,1,No,Month-to-month,False,40,DSL,40.935,False,False,False,True,False,No phone service,39.3,1862-SKORY,DSL1Month-to-month,Yes,Yes,0.6620253118135764
True,False,Bank transfer (automatic),Male,False,357.75,0,Yes,Month-to-month,False,5,Fiber optic,71.55,False,False,False,False,False,Yes,75.9,3074-GQWYX,Fiber optic0Month-to-month,Yes,Yes,0.8552788877797588
True,True,Electronic check,Female,True,4504.55,1,Yes,Month-to-month,False,47,Fiber optic,95.84148936170213,False,True,False,False,False,Yes,95.05,1095-JUDTC,Fiber optic1Month-to-month,Yes,Yes,0.7878913784915297
True,False,Credit card (automatic),Male,True,673.1,1,Yes,Month-to-month,False,7,Fiber optic,96.15714285714286,True,False,True,True,False,Yes,94.7,6502-HCJTI,Fiber optic1Month-to-month,Yes,Yes,0.9114482802396475
True,True,Mailed check,Male,False,244.45,0,Yes,Month-to-month,False,3,Fiber optic,81.48333333333333,False,True,False,False,True,No,89.85,7952-OBOYL,Fiber optic0Month-to-month,No,Yes,0.7417098923802623
True,False,Credit card (automatic),Female,True,1500.25,1,No,Month-to-month,False,43,DSL,34.88953488372093,True,False,False,False,False,No phone service,33.45,5730-RIITO,DSL1Month-to-month,No,Yes,0.7870824172706083
False,True,Credit card (automatic),Female,True,1387.35,0,Yes,One year,False,17,DSL,81.60882352941177,True,True,True,False,False,No,79.85,7049-GKVZY,DSL0One year,No,Yes,0.502680748104176
True,True,Credit card (automatic),Female,True,4062.2,1,Yes,One year,False,40,Fiber optic,101.55499999999999,False,True,True,True,False,No,99.2,2995-UPRYS,Fiber optic1One year,Yes,Yes,0.5358887012552704
True,True,Mailed check,Male,False,2470.1,0,Yes,Month-to-month,False,23,Fiber optic,107.39565217391304,False,True,True,False,True,Yes,104.05,4391-RESHN,Fiber optic0Month-to-month,Yes,Yes,0.677402557647888
True,False,Electronic check,Female,False,1247.75,0,Yes,Month-to-month,False,18,Fiber optic,69.31944444444444,False,False,False,False,False,No,71.1,1769-GRUIK,Fiber optic0Month-to-month,No,Yes,0.7022459624345619
True,False,Electronic check,Male,False,39.65,1,No,Month-to-month,False,1,DSL,39.65,False,False,True,False,True,No phone service,39.65,8779-QRDMV,DSL1Month-to-month,Yes,Yes,0.9614430378981306
True,True,Electronic check,Female,False,85.45,0,Yes,Month-to-month,False,1,Fiber optic,85.45,False,False,False,False,True,No,85.45,5597-GLBUC,Fiber optic0Month-to-month,Yes,Yes,0.9407073973727582
False,True,Credit card (automatic),Male,False,1266.1,1,Yes,Month-to-month,False,14,Fiber optic,90.43571428571428,False,False,True,False,False,No,90.45,1236-WFCDV,Fiber optic1Month-to-month,Yes,Yes,0.6434308566042193
False,False,Electronic check,Female,False,302.6,1,Yes,Month-to-month,False,5,Fiber optic,60.52,False,False,False,True,False,No,70.05,6705-LXORM,Fiber optic1Month-to-month,No,Yes,0.7216758040599336
False,False,Mailed check,Male,False,107.25,0,No,Month-to-month,False,3,DSL,35.75,True,True,False,False,True,No phone service,41.35,6351-SCJKT,DSL0Month-to-month,No,Yes,0.7697171902170692
True,False,Electronic check,Female,False,199.85,0,Yes,Month-to-month,False,3,Fiber optic,66.61666666666666,False,False,False,False,False,No,69.85,7245-NIIWQ,Fiber optic0Month-to-month,No,Yes,0.8724185362282535
True,False,Electronic check,Male,False,69.8,0,Yes,Month-to-month,False,1,Fiber optic,69.8,False,False,False,False,False,No,69.8,4510-HIMLV,Fiber optic0Month-to-month,Yes,Yes,0.8976404539294361
True,True,Electronic check,Male,True,4915.15,0,Yes,Month-to-month,False,44,Fiber optic,111.70795454545454,True,False,True,False,True,Yes,111.5,2587-EKXTS,Fiber optic0Month-to-month,No,Yes,0.5985339047881274
True,True,Electronic check,Female,False,3532.0,0,Yes,One year,False,35,Fiber optic,100.91428571428571,False,True,True,False,True,No,99.25,0080-OROZO,Fiber optic0One year,No,Yes,0.6529379433983439
False,False,Electronic check,Male,False,19.75,0,Yes,Month-to-month,True,1,No,19.75,False,False,False,True,False,No,19.75,9103-CXVOK,No0Month-to-month,No,Yes,0.6559109500552511
False,False,Mailed check,Female,False,20.15,0,Yes,Month-to-month,False,1,No,20.15,False,False,False,False,False,No,20.15,8974-OVACP,No0Month-to-month,No,Yes,0.5715176389645278
True,False,Credit card (automatic),Male,False,186.3,0,No,Month-to-month,False,8,DSL,23.2875,False,False,False,False,False,No phone service,25.25,6464-KEXXH,DSL0Month-to-month,No,Yes,0.6020514340689317
True,False,Electronic check,Male,False,44.4,0,Yes,Month-to-month,True,1,DSL,44.4,False,False,False,False,False,No,44.4,4361-JEIVL,DSL0Month-to-month,Yes,Yes,0.7774551453574777
False,False,Bank transfer (automatic),Male,False,20.05,0,Yes,Month-to-month,False,1,No,20.05,False,False,False,False,False,No,20.05,1349-WXNGG,No0Month-to-month,Yes,Yes,0.6179079741498569
True,False,Electronic check,Male,False,23.45,0,No,Month-to-month,False,1,DSL,23.45,False,False,False,True,False,No phone service,23.45,3797-VTIDR,DSL0Month-to-month,Yes,Yes,0.7983015510016399
True,True,Electronic check,Male,True,2146.5,0,Yes,Month-to-month,False,26,Fiber optic,82.5576923076923,False,False,False,False,False,No,85.75,5226-NOZFC,Fiber optic0Month-to-month,No,Yes,0.7071284703073815
True,True,Electronic check,Female,False,1350.15,1,Yes,Month-to-month,False,16,Fiber optic,84.384375,False,False,False,False,False,Yes,84.75,4514-GFCFI,Fiber optic1Month-to-month,Yes,Yes,0.8343670974567619
True,False,Electronic check,Female,False,69.25,1,Yes,Month-to-month,True,1,Fiber optic,69.25,False,False,False,True,False,No,69.25,0679-IDSTG,Fiber optic1Month-to-month,Yes,Yes,0.8990847324226223
True,False,Electronic check,Male,True,531.0,0,Yes,Month-to-month,False,6,Fiber optic,88.5,False,False,True,True,True,No,91.0,2472-OVKUP,Fiber optic0Month-to-month,Yes,Yes,0.8550744766460245
True,True,Electronic check,Female,True,554.05,0,Yes,Month-to-month,True,7,DSL,79.14999999999999,True,True,False,True,True,No,75.7,4431-EDMIQ,DSL0Month-to-month,No,Yes,0.5292729618713662
True,False,Electronic check,Female,True,2497.2,1,Yes,Month-to-month,False,26,Fiber optic,96.04615384615384,True,False,True,False,False,Yes,95.0,1597-LHYNC,Fiber optic1Month-to-month,Yes,Yes,0.8401177581072675
False,False,Mailed check,Female,False,35.9,0,No,Month-to-month,False,1,DSL,35.9,False,True,False,False,True,No phone service,35.9,2049-BAFNW,DSL0Month-to-month,No,Yes,0.7945173706879652
True,False,Mailed check,Female,False,19.6,0,Yes,Month-to-month,False,1,No,19.6,False,False,False,False,False,No,19.6,4588-YBNIB,No0Month-to-month,Yes,Yes,0.6123489250809915
True,False,Mailed check,Male,True,3141.7,0,Yes,Month-to-month,True,38,Fiber optic,82.67631578947368,False,False,False,False,False,Yes,81.85,2240-HSJQD,Fiber optic0Month-to-month,No,Yes,0.507169839833346
True,True,Electronic check,Female,False,3361.05,0,Yes,One year,False,33,Fiber optic,101.85000000000001,True,True,True,True,True,No,103.75,8267-ZNYVZ,Fiber optic0One year,Yes,Yes,0.6976553292097138
True,False,Electronic check,Female,False,446.1,0,No,Month-to-month,False,13,DSL,34.315384615384616,False,False,True,False,False,No phone service,35.1,8066-POXGX,DSL0Month-to-month,Yes,Yes,0.6620025060406272
True,False,Electronic check,Male,False,684.85,0,Yes,Month-to-month,False,9,Fiber optic,76.09444444444445,False,False,False,False,False,Yes,76.25,5928-QLDHB,Fiber optic0Month-to-month,No,Yes,0.8211957839589649
True,False,Mailed check,Female,True,1855.65,0,Yes,Month-to-month,False,22,Fiber optic,84.34772727272728,False,False,True,False,False,No,84.3,5572-ZDXHY,Fiber optic0Month-to-month,Yes,Yes,0.6151900559502684
True,False,Credit card (automatic),Male,False,2625.25,0,Yes,Month-to-month,False,38,Fiber optic,69.08552631578948,False,False,False,False,False,No,69.5,9767-FFLEM,Fiber optic0Month-to-month,No,Yes,0.5311963793449362
True,False,Mailed check,Female,False,24.9,0,No,Month-to-month,False,1,DSL,24.9,False,False,False,False,False,No phone service,24.9,4367-NHWMM,DSL0Month-to-month,No,Yes,0.7582890610606017
True,False,Credit card (automatic),Female,True,1208.35,0,Yes,Month-to-month,True,14,Fiber optic,86.31071428571428,False,True,True,True,False,No,89.65,1670-SVOWZ,Fiber optic0Month-to-month,Yes,Yes,0.5052167558629407
True,False,Mailed check,Male,False,45.05,0,Yes,Month-to-month,False,1,DSL,45.05,False,False,False,False,False,No,45.05,5696-QURRL,DSL0Month-to-month,Yes,Yes,0.6886745166959288
True,True,Electronic check,Female,False,155.65,0,Yes,Month-to-month,False,3,DSL,51.88333333333333,False,True,False,False,False,Yes,63.6,4398-HSCJH,DSL0Month-to-month,Yes,Yes,0.7363792713867781
True,True,Bank transfer (automatic),Female,True,5458.8,1,Yes,One year,False,58,Fiber optic,94.11724137931034,False,False,True,True,False,Yes,97.8,2480-EJWYP,Fiber optic1One year,No,Yes,0.6471365167343935
True,True,Electronic check,Female,True,3838.75,1,Yes,Month-to-month,False,43,Fiber optic,89.27325581395348,False,False,False,False,False,Yes,90.25,8012-SOUDQ,Fiber optic1Month-to-month,No,Yes,0.7931273570276948
True,False,Mailed check,Male,False,70.6,0,Yes,Month-to-month,False,1,Fiber optic,70.6,False,False,False,False,False,No,70.6,9617-INGJY,Fiber optic0Month-to-month,No,Yes,0.8442641515128504
True,False,Electronic check,Male,False,75.45,0,Yes,Month-to-month,False,1,Fiber optic,75.45,False,False,False,False,False,Yes,75.45,5834-ASPWA,Fiber optic0Month-to-month,Yes,Yes,0.9292432794995008
False,False,Mailed check,Male,False,20.05,0,Yes,Month-to-month,False,1,No,20.05,False,False,False,False,False,No,20.05,7096-UCLNH,No0Month-to-month,No,Yes,0.5573372464365458
True,False,Credit card (automatic),Male,False,232.5,0,Yes,Month-to-month,False,3,Fiber optic,77.5,False,False,False,False,True,No,73.6,8617-ENBDS,Fiber optic0Month-to-month,No,Yes,0.8426660515431895
False,False,Electronic check,Female,False,302.75,0,Yes,Month-to-month,True,4,Fiber optic,75.6875,False,False,True,True,False,No,80.85,5729-KLZAR,Fiber optic0Month-to-month,Yes,Yes,0.8837747768328493
True,False,Mailed check,Female,True,2718.3,1,Yes,Month-to-month,True,34,Fiber optic,79.95,False,False,False,True,False,Yes,79.6,8988-ECPJR,Fiber optic1Month-to-month,Yes,Yes,0.6085185024597948
True,True,Electronic check,Female,True,315.3,0,Yes,Month-to-month,False,3,Fiber optic,105.10000000000001,False,True,True,False,False,No,97.9,0329-GTIAJ,Fiber optic0Month-to-month,Yes,Yes,0.9153956740413735
True,False,Electronic check,Female,False,89.75,0,Yes,Month-to-month,False,2,DSL,44.875,False,False,False,True,False,No,45.0,9588-OZDMQ,DSL0Month-to-month,No,Yes,0.7553191197640129
True,True,Mailed check,Male,True,2861.45,1,Yes,Month-to-month,True,32,Fiber optic,89.4203125,False,False,True,True,False,No,93.95,0111-KLBQG,Fiber optic1Month-to-month,No,Yes,0.5140705114630453
True,True,Bank transfer (automatic),Female,True,4162.05,0,Yes,One year,False,41,Fiber optic,101.51341463414634,True,False,True,True,True,No,104.45,8952-WCVCD,Fiber optic0One year,No,Yes,0.5547702908348962
False,True,Electronic check,Male,False,970.45,0,Yes,Month-to-month,True,9,Fiber optic,107.82777777777778,False,True,True,True,True,No,103.1,2018-PZKMU,Fiber optic0Month-to-month,No,Yes,0.8040905659858338
True,True,Bank transfer (automatic),Female,True,1956.4,0,Yes,Month-to-month,False,21,Fiber optic,93.16190476190476,False,True,True,False,False,No,99.15,2227-JRSJX,Fiber optic0Month-to-month,No,Yes,0.6906760239710109
False,False,Bank transfer (automatic),Female,False,947.3,0,Yes,Month-to-month,False,12,Fiber optic,78.94166666666666,False,False,True,False,False,No,78.1,3096-IZETN,Fiber optic0Month-to-month,Yes,Yes,0.7214211572452746
True,False,Credit card (automatic),Male,False,827.7,1,Yes,Month-to-month,False,11,Fiber optic,75.24545454545455,False,False,True,False,False,No,79.15,5271-DBYSJ,Fiber optic1Month-to-month,No,Yes,0.7990743291270784
True,True,Bank transfer (automatic),Male,False,827.45,0,Yes,Month-to-month,False,9,Fiber optic,91.9388888888889,False,True,True,False,False,No,95.9,7426-RHZGU,Fiber optic0Month-to-month,No,Yes,0.7462327942978564
False,False,Electronic check,Female,False,19.45,0,Yes,Month-to-month,True,1,No,19.45,False,False,False,True,False,No,19.45,3679-XASPY,No0Month-to-month,No,Yes,0.6694463199302569
False,True,Mailed check,Male,False,2215.0,0,Yes,Month-to-month,False,21,Fiber optic,105.47619047619048,True,False,True,False,True,Yes,103.85,7181-OQCUT,Fiber optic0Month-to-month,No,Yes,0.6726196077268749
True,False,Electronic check,Female,False,3906.7,0,Yes,Month-to-month,False,49,Fiber optic,79.72857142857143,False,False,True,False,False,Yes,84.5,3714-NTNFO,Fiber optic0Month-to-month,No,Yes,0.6371876002643866
False,True,Electronic check,Male,True,4398.15,0,Yes,Month-to-month,False,44,Fiber optic,99.95795454545454,False,True,True,False,False,No,100.55,8761-NSOBC,Fiber optic0Month-to-month,Yes,Yes,0.5721935468338296
True,False,Bank transfer (automatic),Male,False,1167.8,1,Yes,Month-to-month,False,16,Fiber optic,72.9875,False,False,False,True,False,No,71.8,3755-JBMNH,Fiber optic1Month-to-month,Yes,Yes,0.7748818715310466
True,False,Electronic check,Female,False,45.0,0,Yes,Month-to-month,False,1,DSL,45.0,False,False,False,True,False,No,45.0,8356-WUAOJ,DSL0Month-to-month,No,Yes,0.7742916796874197
False,False,Electronic check,Female,False,217.1,0,Yes,Month-to-month,True,4,DSL,54.275,True,False,False,True,False,No,50.3,5071-FBJFS,DSL0Month-to-month,No,Yes,0.5533977989525128
True,False,Electronic check,Female,False,194.2,0,Yes,Month-to-month,False,3,Fiber optic,64.73333333333333,False,False,False,False,False,No,70.15,6077-BDPXA,Fiber optic0Month-to-month,No,Yes,0.8672991688759801
True,False,Electronic check,Female,True,1297.8,0,Yes,Month-to-month,True,19,DSL,68.30526315789473,True,False,False,False,True,No,60.6,3639-XJHKQ,DSL0Month-to-month,No,Yes,0.5358142561973781
True,False,Bank transfer (automatic),Male,False,20.2,0,Yes,Month-to-month,False,1,No,20.2,False,False,False,False,False,No,20.2,1493-AMTIE,No0Month-to-month,Yes,Yes,0.6551014072725492
True,True,Electronic check,Female,False,3334.9,0,Yes,Month-to-month,False,32,Fiber optic,104.215625,False,False,True,False,True,Yes,101.35,2809-ZMYOQ,Fiber optic0Month-to-month,No,Yes,0.8187588117180119
False,False,Electronic check,Female,False,41.85,1,No,Month-to-month,False,2,DSL,20.925,False,False,False,False,False,No phone service,24.35,5482-PLVPE,DSL1Month-to-month,Yes,Yes,0.9625557485938618
True,False,Mailed check,Female,False,50.1,0,Yes,Month-to-month,False,1,DSL,50.1,False,False,False,False,False,Yes,50.1,4749-VFKVB,DSL0Month-to-month,Yes,Yes,0.7611182078198737
True,False,Electronic check,Female,False,72.1,1,Yes,Month-to-month,False,1,Fiber optic,72.1,False,False,False,False,False,Yes,72.1,0021-IKXGC,Fiber optic1Month-to-month,No,Yes,0.9450212128470324
True,True,Bank transfer (automatic),Female,True,4454.25,0,Yes,One year,True,41,Fiber optic,108.64024390243902,False,True,True,True,True,Yes,109.1,4567-AKPIA,Fiber optic0One year,No,Yes,0.5497361769547326
False,True,Credit card (automatic),Female,False,298.7,0,No,Month-to-month,False,6,DSL,49.78333333333333,False,False,True,False,False,No phone service,45.0,4257-GAESD,DSL0Month-to-month,No,Yes,0.6072963544734046
True,True,Electronic check,Male,False,2391.8,0,Yes,Month-to-month,False,24,Fiber optic,99.65833333333335,False,False,True,True,True,Yes,101.05,2430-USGXP,Fiber optic0Month-to-month,Yes,Yes,0.881159756455102
True,True,Electronic check,Female,True,3190.25,1,Yes,Month-to-month,False,34,Fiber optic,93.83088235294117,False,True,False,False,False,Yes,96.35,9508-ILZDG,Fiber optic1Month-to-month,No,Yes,0.6146197713196931
False,True,Electronic check,Male,False,84.5,0,Yes,Month-to-month,False,1,Fiber optic,84.5,False,False,False,False,False,Yes,84.5,7120-RFMVS,Fiber optic0Month-to-month,Yes,Yes,0.9398691055984342
True,False,Electronic check,Male,False,413.25,0,Yes,Month-to-month,False,5,Fiber optic,82.65,True,False,True,True,False,Yes,89.15,4853-OITSN,Fiber optic0Month-to-month,No,Yes,0.8112756236306911
True,False,Mailed check,Male,False,25.0,0,Yes,Month-to-month,False,1,No,25.0,False,False,False,False,False,Yes,25.0,8896-BQTTI,No0Month-to-month,No,Yes,0.5879579937408819
True,True,Bank transfer (automatic),Male,True,2816.65,1,No,One year,False,46,DSL,61.231521739130436,False,True,True,True,True,No phone service,59.9,4785-QRJHC,DSL1One year,Yes,Yes,0.6850301964916405
False,False,Mailed check,Male,False,21.1,0,Yes,Month-to-month,False,1,No,21.1,False,False,False,False,False,No,21.1,2111-DWYHN,No0Month-to-month,No,Yes,0.5504106562249178
True,False,Electronic check,Female,False,553.0,0,No,Month-to-month,True,18,DSL,30.72222222222222,False,False,True,False,False,No phone service,35.0,6240-EURKS,DSL0Month-to-month,Yes,Yes,0.6296544970574868
False,False,Electronic check,Female,False,1438.05,0,Yes,Month-to-month,False,18,Fiber optic,79.89166666666667,True,False,False,True,False,No,74.8,7401-RUBNK,Fiber optic0Month-to-month,No,Yes,0.5416749258212575
